"time" "mean" "sd" "sem" "source"
"37" 360 7.08527771357755 0.0442261217278921 0.0221130608639461 "df_74"
"38" 370 7.0935846247877 0.0438705242897382 0.0219352621448691 "df_74"
"39" 380 7.09227902602061 0.0502762105390779 0.0251381052695389 "df_74"
"40" 390 7.0890313381276 0.0419012195981999 0.0209506097991 "df_74"
"41" 400 7.06957629718695 0.0407178656073856 0.0203589328036928 "df_74"
"42" 410 7.05926751721982 0.0404368385689869 0.0202184192844935 "df_74"
"43" 420 7.05890700119602 0.0411780349070392 0.0205890174535196 "df_74"
"44" 430 6.97442503581512 0.0944520321349345 0.0472260160674673 "df_74"
"45" 440 6.98890898156234 0.11011057953831 0.0550552897691551 "df_74"
"46" 450 7.00684552563576 0.117623362190769 0.0588116810953846 "df_74"
"47" 460 7.03401213262675 0.116932979253701 0.0584664896268504 "df_74"
"48" 470 7.03793579238336 0.115224191439888 0.057612095719944 "df_74"
"49" 480 7.0592387736674 0.115848093097746 0.0579240465488729 "df_74"
"50" 490 7.06043736835594 0.107141806793118 0.0535709033965591 "df_74"
"51" 500 7.08291353276708 0.109974502027621 0.0549872510138106 "df_74"
"52" 510 7.09408656843714 0.106391102066852 0.0531955510334259 "df_74"
"53" 520 7.11067470980699 0.114450614894896 0.0572253074474482 "df_74"
"54" 530 7.11237961724753 0.118228915673553 0.0591144578367764 "df_74"
"55" 540 7.13207312404391 0.116195434916624 0.0580977174583121 "df_74"
"56" 550 7.13581575698004 0.126582077917612 0.0632910389588059 "df_74"
"57" 560 7.14053155642487 0.124690990695532 0.062345495347766 "df_74"
"58" 570 7.14644173569722 0.119103393133259 0.0595516965666296 "df_74"
"59" 580 7.16509884421898 0.128284514090234 0.0641422570451172 "df_74"
"60" 590 7.16260356343316 0.130384613031957 0.0651923065159787 "df_74"
"61" 600 7.17312629111727 0.116996975701517 0.0584984878507585 "df_74"
"62" 610 7.1699701066378 0.128042154068083 0.0640210770340416 "df_74"
"63" 620 7.17988053455742 0.116419905688372 0.0582099528441861 "df_74"
"64" 630 7.19187892256239 0.129652949347752 0.0648264746738758 "df_74"
"65" 640 7.20721745704591 0.14572306703595 0.0728615335179751 "df_74"
"66" 650 7.22261137023626 0.132887936751536 0.0664439683757679 "df_74"
"67" 660 7.21910519770455 0.140047954901709 0.0700239774508547 "df_74"
"68" 670 7.2273137414354 0.126178444105074 0.0630892220525368 "df_74"
"69" 680 7.22583663034817 0.134047948507846 0.0670239742539232 "df_74"
"70" 690 7.23645778924245 0.126347945236133 0.0631739726180667 "df_74"
"71" 700 7.23863187563489 0.135565730571731 0.0677828652858653 "df_74"
"72" 710 7.25935642870167 0.137744505377954 0.0688722526889768 "df_74"
"73" 720 7.28182856292266 0.147021937791407 0.0735109688957035 "df_74"
"74" 730 7.28174306436822 0.143961788372913 0.0719808941864567 "df_74"
"75" 740 7.39439257844884 0.13061507242199 0.0653075362109951 "df_74"
"76" 750 7.37035780765731 0.156287032054456 0.0781435160272281 "df_74"
"77" 760 7.34292791696777 0.178146723850388 0.0890733619251939 "df_74"
"78" 770 7.35110402056063 0.144164946102711 0.0720824730513554 "df_74"
"79" 780 7.24062070603665 0.140866075681156 0.0704330378405778 "df_74"
"80" 0 7.42923594594462 0.12323120010818 0.0616156000540898 "df_56"
"81" 10 7.45114830348952 0.077800498138062 0.038900249069031 "df_56"
"82" 20 7.46020595835411 0.0613546093265583 0.0306773046632792 "df_56"
"83" 30 7.42857063300411 0.0647710742767916 0.0323855371383958 "df_56"
"84" 40 7.41822300132645 0.063095248376448 0.031547624188224 "df_56"
"85" 50 7.42559263416754 0.054384636453931 0.0271923182269655 "df_56"
"86" 60 7.49607357046821 0.0960528901035816 0.0480264450517908 "df_56"
"87" 70 6.75066978980713 0.0317109177022258 0.0158554588511129 "df_56"
"88" 80 6.77390727984821 0.030100128022637 0.0150500640113185 "df_56"
"89" 90 6.82798312925352 0.0384593739218414 0.0192296869609207 "df_56"
"90" 100 6.87097566348628 0.0422636652702974 0.0211318326351487 "df_56"
"91" 110 6.9203943463674 0.0447306867623602 0.0223653433811801 "df_56"
"92" 120 6.9445586755536 0.0476792841142491 0.0238396420571245 "df_56"
"93" 130 6.97349994746232 0.0530097434470767 0.0265048717235383 "df_56"
"94" 140 6.99331806378618 0.0493642438869261 0.024682121943463 "df_56"
"95" 150 7.0068693318611 0.0566890404435895 0.0283445202217948 "df_56"
"96" 160 7.01772052657827 0.0499447003690661 0.0249723501845331 "df_56"
"97" 170 7.03345880901979 0.0512046424960075 0.0256023212480038 "df_56"
"98" 180 7.04781013726452 0.0556317076803206 0.0278158538401603 "df_56"
"99" 190 7.04151297773083 0.0558971167142598 0.0279485583571299 "df_56"
"100" 200 7.04848448286887 0.0537725910555133 0.0268862955277567 "df_56"
"101" 210 7.04490634182503 0.0536405013431112 0.0268202506715556 "df_56"
"102" 220 7.03882718809253 0.0521722975990875 0.0260861487995438 "df_56"
